,Outage_sec_perweek,MonthlyCharge,Bandwidth_GB_Year,churn_dummy
0,7.978322947,172.455519,904.5361102,0
1,11.69907956,242.632554,800.9827661,1
2,10.75280028,159.947583,2054.706961,0
3,14.91353964,119.95684,2164.579412,0
4,8.147416533,149.948316,271.4934362,1
5,8.420992898,185.007692,1039.357983,0
6,11.18272453,200.118516,1907.242972,1
7,7.791632265,114.950905,979.6127078,1
8,5.739005915,117.468591,1312.874964,0
9,8.707823904,162.482694,508.7637913,0
10,9.341631685,174.958118,2728.767869,0
11,6.68082638,149.962093,1180.588788,0
12,8.273875452,137.439154,1196.388018,0
13,5.880565591,184.971516,1948.694497,0
14,11.79073041,159.965581,1582.295235,1
15,10.79846973,177.65076,1840.014467,1
16,13.52284721,194.966286,2070.376729,1
17,9.831166695,202.682861,882.0985933,1
18,9.57470568,152.490739,1833.0967,0
19,10.92246098,149.944668,1954.080809,1
20,12.06889188,184.978458,2330.319383,0
21,6.984819996,127.495766,594.1054279,0
22,9.372975594,124.964303,713.0633088,0
23,7.109002592,149.948316,945.3802928,0
24,13.74777955,162.511928,870.76398,1
25,9.767668044,92.455141,774.2937069,1
26,15.8626095,222.649979,1506.446527,1
27,14.73616645,139.981577,419.0508708,1
28,13.43558029,200.132293,1259.415493,1
29,10.61771118,257.651257,1745.125956,1
30,6.613070806,230.105118,1795.465729,0
31,4.450171647,147.489301,492.4771472,0
32,8.774646693,230.105118,1013.993166,1
33,11.13156721,174.958118,2680.762173,1
34,5.540788887,267.664655,1081.814362,1
35,13.80362698,162.483267,1209.961168,1
36,16.31017089,229.993134,897.5919144,1
37,9.447065309,140.00128,1340.930156,0
38,16.84100845,184.964681,1113.993679,0
39,7.972937227,147.473844,1530.10769,0
40,11.42906608,172.457857,1310.137419,0
41,8.06137096,107.481989,892.8964931,0
42,12.54780492,255.141716,1125.581944,1
43,8.255565152,192.456745,2016.710031,0
44,13.156514,242.632554,1412.736809,1
45,10.58349704,245.174977,1710.689671,1
46,12.50184778,184.964681,2384.885909,1
47,9.750038902,195.006206,1213.940165,1
48,7.868660851,104.962874,740.010722,0
49,12.43563329,92.488023,897.9716153,0
50,8.957166926,184.979684,1026.387172,1
51,8.015021713,187.656013,1234.244324,1
52,4.210347704,149.962093,727.3731845,0
53,11.13960534,169.944668,452.8721504,1
54,9.03738856,160.00128,1296.674543,1
55,10.91594785,129.962093,1840.628269,0
56,8.387624096,114.950905,1324.330108,1
57,11.4487514,142.515576,958.1397059,0
58,10.22013704,220.14775,1868.864027,1
59,8.425458142,124.97808,676.712908,0
60,8.386280619,164.964681,1086.990308,0
61,9.565924291,194.976769,704.7540406,0
62,10.79349982,152.455519,1416.444695,1
63,6.081975067,92.5018,1095.950634,0
64,13.55065547,127.488728,1083.610268,0
65,9.470419821,184.963371,1570.641337,0
66,6.194985909,265.146969,1007.425553,1
67,10.80393657,207.609354,1323.028419,1
68,7.903964267,152.462354,1808.730555,0
69,11.27443693,200.132293,1120.241472,1
70,6.129509309,212.655686,2676.789803,1
71,7.969277912,255.119794,1268.086909,1
72,4.368120492,134.950905,822.6771666,0
73,6.258356398,255.137219,1577.915603,1
74,12.92303286,214.966286,648.7471776,1
75,12.43301273,270.160419,1648.102673,1
76,7.607663559,200.165175,768.0874545,1
77,7.442789019,149.937833,2426.030626,0
78,13.04429298,240.114868,2660.503932,1
79,14.89762162,127.495766,1129.549713,0
80,13.79387475,187.609354,1771.286466,1
81,15.66367593,169.992756,943.3391244,0
82,8.513410306,192.456745,1907.226083,0
83,8.265002035,120.004928,1885.939118,0
84,8.6026551,195.006206,631.7435653,0
85,6.03993035,139.95684,562.6095219,0
86,14.6040829,114.983787,593.8572264,0
87,7.274007029,207.638588,777.3060718,1
88,8.913898759,187.609354,1393.202392,1
89,11.59313893,134.950905,393.6524652,0
90,8.294186076,192.470522,409.7486664,1
91,15.19664016,222.628057,2138.107161,1
92,5.083995994,162.468917,443.984031,0
93,6.942719201,159.979358,2481.385603,1
94,9.834012571,184.979684,2233.567181,0
95,11.0596826,245.145743,1158.91369,1
96,8.834079073,124.97808,529.40733,0
97,5.271228601,187.484705,1956.7337,1
98,9.394961367,162.500692,2056.386979,0
99,14.4754365,182.467607,1067.373076,0
100,10.68311773,222.660939,1806.135733,1
101,13.79409442,182.467607,1397.701335,0
102,12.40165307,220.161527,808.4305471,1
103,10.24782033,169.937833,1886.531937,0
104,14.86100819,204.963371,2294.781131,1
105,6.716953195,204.963371,826.3438621,1
106,8.124258176,245.128318,2072.564168,1
107,14.60903837,172.473314,1436.793746,1
108,12.65015936,172.456745,1963.332683,1
109,12.0281501,194.976769,1324.164906,1
110,15.68043093,137.439154,704.9375603,0
111,11.30421466,192.470522,888.6517305,1
112,10.26646787,159.951231,377.0810282,1
113,7.56618217,112.455141,1606.489936,0
114,10.40677369,174.961766,1431.409396,1
115,7.146124361,162.452604,2253.85247,0
116,9.807530479,137.483594,1353.29384,0
117,10.61217014,275.133571,1701.457566,0
118,5.785085772,127.442069,1290.737183,1
119,9.062879297,210.138,1403.270091,1
120,16.54443477,147.456419,2603.903672,0
121,4.539566699,242.657291,1256.287854,1
122,7.251198724,114.983787,980.9935923,0
123,8.943293567,187.656013,1347.869205,0
124,12.57884215,149.991327,1127.267848,0
125,11.64836306,124.960655,1269.836202,0
126,6.076260652,220.161527,1038.745378,1
127,11.75681641,172.48852,1531.155367,0
128,9.173739977,120.004928,991.2441024,0
129,8.353693631,220.161527,1244.296865,1
130,10.74539526,139.965008,1162.332926,1
131,11.36323648,159.951231,577.1157824,0
132,2.310584634,184.949594,1442.974877,1
133,5.290318715,252.637807,1577.208717,1
134,5.258274954,112.455141,886.9398744,0
135,7.157580014,179.979358,1065.06443,0
136,2.120350511,202.443347,951.886985,0
137,4.978546291,197.472533,1404.435534,0
138,6.547676875,255.155493,1925.911722,1
139,7.410590719,174.976769,1805.011298,1
140,11.39765385,169.992756,700.7343179,0
141,11.29945603,192.440432,513.237305,1
142,11.30748265,182.460772,717.3876564,0
143,10.31551212,139.965008,1313.492851,0
144,13.71555406,137.461553,819.4195269,1
145,15.40917963,217.472533,882.1160656,1
146,11.9664542,210.138,724.7803356,1
147,10.18046877,104.964303,1829.270014,0
148,14.01485542,262.610632,1668.199119,1
149,14.62784306,152.488401,1124.353152,1
150,10.90517581,174.974431,1316.239744,1
151,8.894475174,220.118516,1637.201426,0
152,10.50187888,162.452604,951.8524406,0
153,12.34250072,184.961033,1248.097652,1
154,10.29380879,217.483972,2220.255405,0
155,8.512650562,220.118516,1669.202417,0
156,7.82671592,187.642236,990.0555076,1
157,6.985590245,174.961766,967.9819136,0
158,11.40449185,252.637807,2190.259876,1
159,10.44249511,130.024412,1445.752781,0
160,15.38627887,162.482694,528.6553088,1
161,10.68024546,182.467607,1296.481055,1
162,10.62439366,139.934918,1195.393037,0
163,10.91642397,200.165175,1700.121992,1
164,8.580626195,202.682861,2120.673828,1
165,8.996933306,159.951231,1238.421347,0
166,7.602570192,149.948316,847.110799,0
